size,heap
5,23
6,29
7,35
8,46
9,60
10,59
11,66
12,84
13,89
14,94
15,104
16,117
17,119
18,138
19,143
20,152
21,168
22,180
23,190
24,207
25,210
26,236
27,243
28,239
29,275
30,258
31,277
32,299
33,314
34,304
35,336
36,349
37,356
38,355
39,378
40,387
41,396
42,413
43,407
44,435
45,461
46,474
47,493
48,507
49,499
50,516
51,522
52,541
53,554
54,590
55,591
56,597
57,619
58,641
59,646
60,657
61,680
62,658
63,700
64,697
65,721
66,721
67,763
68,783
69,762
70,763
71,820
72,818
73,828
74,847
75,891
76,886
77,906
78,910
79,916
80,945
81,949
82,974
83,971
84,975
85,1029
86,1038
87,1040
88,1044
89,1063
90,1084
91,1094
92,1135
93,1127
94,1169
95,1162
96,1194
97,1182
98,1228
99,1214
100,1245
101,1253
102,1254
103,1273
104,1312
105,1300
106,1347
107,1338
108,1353
109,1356
110,1405
111,1385
112,1424
113,1416
114,1406
115,1507
116,1480
117,1499
118,1520
119,1504
120,1554
121,1552
122,1554
123,1606
124,1615
125,1634
126,1615
127,1696
128,1691
129,1663
130,1704
131,1753
132,1740
133,1740
134,1739
135,1757
136,1788
137,1841
138,1847
139,1863
140,1834
141,1860
142,1861
143,1885
144,1951
145,1936
146,1925
147,2009
148,2000
149,2062
150,2046
151,2074
152,2044
153,2058
154,2108
155,2111
156,2106
157,2153
158,2137
159,2194
160,2167
161,2209
162,2200
163,2276
164,2262
165,2261
166,2312
167,2321
168,2306
169,2336
170,2347
171,2342
172,2437
173,2399
174,2390
175,2439
176,2468
177,2472
178,2515
179,2518
180,2522
181,2546
182,2539
183,2589
184,2578
185,2645
186,2651
187,2658
188,2658
189,2689
190,2690
191,2642
192,2733
193,2746
194,2746
195,2759
196,2826
197,2831
198,2811
199,2910
200,2878
201,2881
202,2925
203,2958
204,2931
205,2925
206,2980
207,3013
208,3057
209,3048
210,3033
211,3054
212,3051
213,3115
214,3105
215,3170
216,3122
217,3174
218,3134
219,3184
220,3205
221,3232
222,3230
223,3241
224,3236
225,3299
226,3268
227,3335
228,3330
229,3400
230,3366
231,3479
232,3411
233,3482
234,3500
235,3482
236,3485
237,3531
238,3529
239,3551
240,3568
241,3564
242,3599
243,3629
244,3648
245,3703
246,3649
247,3642
248,3699
249,3733
250,3738
251,3726
252,3764
253,3772
254,3746
255,3840
256,3846
257,3879
258,3916
259,3896
260,3855
261,3886
262,3926
263,3968
264,3953
265,3996
266,4017
267,4049
268,4061
269,4108
270,4114
271,4101
272,4103
273,4180
274,4151
275,4192
276,4193
277,4243
278,4300
279,4218
280,4291
281,4269
282,4405
283,4279
284,4335
285,4335
286,4371
287,4445
288,4487
289,4433
290,4451
291,4541
292,4482
293,4515
294,4521
295,4564
296,4641
297,4583
298,4620
299,4653
300,4659
301,4613
302,4686
303,4749
304,4739
305,4728
306,4756
307,4824
308,4795
309,4865
310,4841
311,4863
312,4872
313,4907
314,4918
315,4957
316,4989
317,4879
318,4992
319,4966
320,4986
321,5026
322,5088
323,5073
324,5087
325,5083
326,5151
327,5166
328,5180
329,5252
330,5199
331,5266
332,5225
333,5276
334,5353
335,5274
336,5334
337,5302
338,5370
339,5359
340,5375
341,5370
342,5458
343,5412
344,5458
345,5407
346,5592
347,5531
348,5567
349,5547
350,5579
351,5599
352,5628
353,5617
354,5652
355,5712
356,5633
357,5728
358,5736
359,5724
360,5795
361,5812
362,5848
363,5863
364,5806
365,5920
366,5887
367,5938
368,6010
369,5933
370,5977
371,5977
372,6035
373,5992
374,6124
375,6031
376,6026
377,6060
378,6165
379,6123
380,6129
381,6140
382,6169
383,6220
384,6227
385,6306
386,6309
387,6253
388,6336
389,6332
390,6325
391,6374
392,6404
393,6397
394,6435
395,6424
396,6402
397,6432
398,6451
399,6493
400,6567
401,6572
402,6538
403,6562
404,6658
405,6673
406,6665
407,6678
408,6695
409,6731
410,6734
411,6709
412,6772
413,6785
414,6812
415,6791
416,6899
417,6908
418,6913
419,6855
420,6862
421,6985
422,6890
423,7040
424,6956
425,6987
426,7155
427,7049
428,7061
429,7153
430,7058
431,7180
432,7175
433,7137
434,7217
435,7225
436,7241
437,7235
438,7303
439,7351
440,7309
441,7326
442,7318
443,7395
444,7402
445,7419
446,7398
447,7467
448,7518
449,7500
450,7487
451,7451
452,7478
453,7546
454,7600
455,7617
456,7612
457,7627
458,7617
459,7594
460,7730
461,7761
462,7748
463,7715
464,7754
465,7808
466,7848
467,7811
468,7878
469,7928
470,7879
471,7885
472,7923
473,7907
474,7966
475,7957
476,8059
477,8074
478,8022
479,8021
480,8012
481,8099
482,8159
483,8149
484,8218
485,8115
486,8263
487,8202
488,8236
489,8299
490,8247
491,8291
492,8326
493,8318
494,8323
495,8360
496,8388
497,8382
498,8429
499,8460
500,8435
501,8454
502,8489
503,8565
504,8556
505,8537
506,8609
507,8630
508,8591
509,8631
510,8710
511,8677
512,8657
513,8707
514,8806
515,8707
516,8802
517,8738
518,8814
519,8827
520,8872
521,8827
522,8886
523,8918
524,8901
525,8972
526,8958
527,8977
528,9051
529,9111
530,9122
531,9067
532,9143
533,9176
534,9094
535,9140
536,9183
537,9209
538,9190
539,9285
540,9257
541,9243
542,9291
543,9425
544,9301
545,9419
546,9431
547,9413
548,9495
549,9412
550,9483
551,9479
552,9530
553,9531
554,9663
555,9587
556,9549
557,9587
558,9687
559,9634
560,9668
561,9712
562,9668
563,9731
564,9791
565,9775
566,9821
567,9828
568,9769
569,9872
570,9884
571,9939
572,9944
573,9950
574,9925
575,9963
576,9980
577,10018
578,9952
579,10108
580,10113
581,10116
582,10164
583,10229
584,10192
585,10146
586,10192
587,10168
588,10195
589,10279
590,10262
591,10329
592,10269
593,10461
594,10331
595,10451
596,10427
597,10451
598,10476
599,10511
600,10486
601,10540
602,10581
603,10548
604,10656
605,10604
606,10682
607,10639
608,10635
609,10633
610,10762
611,10698
612,10670
613,10852
614,10758
615,10868
616,10803
617,10873
618,10850
619,10922
620,10928
621,11023
622,10927
623,10975
624,10942
625,10930
626,11025
627,11075
628,11100
629,11079
630,11197
631,11081
632,11149
633,11186
634,11236
635,11240
636,11287
637,11260
638,11285
639,11262
640,11368
641,11398
642,11333
643,11337
644,11420
645,11405
646,11375
647,11449
648,11500
649,11520
650,11548
651,11577
652,11562
653,11541
654,11630
655,11655
656,11787
657,11676
658,11696
659,11792
660,11787
661,11796
662,11822
663,11779
664,11811
665,11838
666,11898
667,11912
668,11899
669,11962
670,11955
671,12010
672,11983
673,12018
674,11982
675,11977
676,12083
677,12079
678,12066
679,12230
680,12144
681,12228
682,12208
683,12195
684,12236
685,12224
686,12283
687,12347
688,12352
689,12279
690,12347
691,12397
692,12461
693,12430
694,12550
695,12486
696,12463
697,12545
698,12587
699,12509
700,12581
701,12606
702,12602
703,12766
704,12798
705,12716
706,12702
707,12676
708,12858
709,12700
710,12807
711,12758
712,12815
713,12868
714,12819
715,12896
716,12854
717,12925
718,12998
719,12940
720,12912
721,13048
722,13099
723,13053
724,13088
725,13105
726,13156
727,13211
728,13106
729,13122
730,13258
731,13202
732,13302
733,13221
734,13420
735,13286
736,13348
737,13429
738,13390
739,13372
740,13363
741,13577
742,13429
743,13426
744,13516
745,13536
746,13488
747,13602
748,13567
749,13557
750,13572
751,13575
752,13684
753,13593
754,13701
755,13703
756,13667
757,13884
758,13820
759,13858
760,13856
761,13802
762,13924
763,13816
764,13940
765,14071
766,14028
767,14036
768,14066
769,13973
770,14053
771,14095
772,14095
773,14136
774,14115
775,14150
776,14095
777,14076
778,14160
779,14252
780,14224
781,14301
782,14235
783,14228
784,14292
785,14328
786,14359
787,14423
788,14449
789,14518
790,14448
791,14452
792,14504
793,14538
794,14553
795,14538
796,14472
797,14540
798,14692
799,14649
800,14727
801,14772
802,14721
803,14715
804,14794
805,14754
806,14811
807,14787
808,14880
809,14841
810,14888
811,14945
812,14941
813,14962
814,14973
815,14916
816,15016
817,15085
818,15044
819,15071
820,15174
821,15096
822,15184
823,15147
824,15205
825,15216
826,15258
827,15200
828,15254
829,15219
830,15334
831,15366
832,15317
833,15425
834,15423
835,15525
836,15445
837,15483
838,15565
839,15631
840,15580
841,15609
842,15626
843,15507
844,15701
845,15694
846,15526
847,15693
848,15660
849,15788
850,15789
851,15818
852,15731
853,15748
854,15881
855,15898
856,15948
857,16036
858,15888
859,15859
860,15895
861,15859
862,15992
863,16043
864,15945
865,16042
866,16128
867,16158
868,16151
869,16294
870,16148
871,16209
872,16214
873,16258
874,16198
875,16275
876,16293
877,16351
878,16313
879,16371
880,16332
881,16366
882,16277
883,16386
884,16508
885,16540
886,16581
887,16465
888,16526
889,16582
890,16592
891,16582
892,16686
893,16652
894,16678
895,16691
896,16632
897,16721
898,16795
899,16758
900,16776
901,16874
902,16787
903,16861
904,16810
905,16903
906,16909
907,17005
908,16901
909,16993
910,17096
911,17145
912,17051
913,17072
914,17041
915,17102
916,17137
917,17167
918,17078
919,17304
920,17207
921,17280
922,17208
923,17298
924,17337
925,17398
926,17405
927,17337
928,17464
929,17439
930,17365
931,17462
932,17487
933,17579
934,17538
935,17565
936,17605
937,17577
938,17593
939,17656
940,17669
941,17711
942,17619
943,17621
944,17744
945,17819
946,17864
947,17779
948,17838
949,17865
950,17850
951,17895
952,17978
953,18034
954,17915
955,17952
956,18106
957,17908
958,18100
959,18007
960,18045
961,18125
962,18151
963,18144
964,18213
965,18183
966,18161
967,18197
968,18308
969,18335
970,18196
971,18277
972,18351
973,18363
974,18433
975,18491
976,18490
977,18387
978,18506
979,18430
980,18492
981,18575
982,18605
983,18577
984,18580
985,18623
986,18618
987,18719
988,18736
989,18700
990,18749
991,18752
992,18795
993,18659
994,18900
995,18903
996,18930
997,18794
998,18837
999,18919
