n,heapsort.ticks
150000,25706439
180000,31349198
210000,37039417
240000,42749844
270000,48492150
300000,54412175
330000,60348378
360000,66295608
390000,72277426
420000,78269384
450000,84277998
480000,90286220
510000,96291794
540000,102398481
570000,108590341
600000,114809863
630000,121036824
660000,127291827
690000,133551339
720000,139797884
750000,146094994
780000,152344653
810000,158639248
840000,164948203
870000,171245289
900000,177551410
930000,183852477
960000,190186015
990000,196482372
1020000,202780890
1050000,209071019
1080000,215589858
1110000,222091473
1140000,228590462
1170000,235109936
1200000,241631061
1230000,248143838
1260000,254685045
1290000,261201750
1320000,267756196
1350000,274329535
1380000,280927820
1410000,287450075
1440000,294015233
1470000,300591067
